"";"Chemin";"Positions";"Distance"
"Yekaterin...8";"ID5 - ID3 - Moscou - ID18 - Kazan - Perm - Yekaterin...";"1092;-1269|1146;-1579|1286;-1755|1584;-1884|1718;-1775|2039;-1686|2172;-1733";1511,1858844632
"Yekaterin...9";"Yekaterin... - Perm - Kazan - ID18 - Moscou - ID3 - ID5";"2172;-1733|2039;-1686|1718;-1775|1584;-1884|1286;-1755|1146;-1579|1092;-1269";1511,1858844632
"Omsk8";"ID5 - ID3 - Moscou - ID18 - Samara - Omsk";"1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855";1883,21366415243
"Omsk9";"Omsk - Samara - ID18 - Moscou - ID3 - ID5";"2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269";1883,21366415243
"Novosibirsk8";"ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk";"1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834";2214,87915828771
"Novosibirsk9";"Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5";"2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269";2214,87915828771
"Irkustk8";"ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk";"1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026";3061,23563340036
"Irkustk9";"Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5";"3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269";3061,23563340036
"ID319";"ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31";"1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901";2901,15752746453
"ID3110";"ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5";"3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269";2901,15752746453
"ID328";"ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32";"1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077";3561,84026781758
"ID329";"ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5";"4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269";3561,84026781758
"ID338";"ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33";"1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923";3740,71732056611
"ID339";"ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5";"4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269";3740,71732056611
"ID348";"ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34";"1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949";3997,039383604
"ID349";"ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5";"4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269";3997,039383604
"ID358";"ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35";"1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021";4070,79573926234
"ID359";"ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5";"4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269";4070,79573926234
"ID368";"ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36";"1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178";4290,71617942196
"ID369";"ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5";"4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269";4290,71617942196
"Khabarovsk8";"ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36 - Khabarovsk";"1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178|4829;-2146";4401,44106370729
"Khabarovsk9";"Khabarovsk - ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5";"4829;-2146|4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269";4401,44106370729
"ID388";"ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36 - Khabarovsk - ID38";"1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178|4829;-2146|4887;-2222";4497,04441092902
"ID389";"ID38 - Khabarovsk - ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5";"4887;-2222|4829;-2146|4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269";4497,04441092902
"Vladivostok8";"ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36 - Khabarovsk - ID38 - Vladivostok";"1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178|4829;-2146|4887;-2222|4777;-2450";4750,1925888802
"Vladivostok9";"Vladivostok - ID38 - Khabarovsk - ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5";"4777;-2450|4887;-2222|4829;-2146|4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269";4750,1925888802
"ID408";"ID5 - ID3 - Moscou - ID18 - Kazan - Perm - ID40";"1092;-1269|1146;-1579|1286;-1755|1584;-1884|1718;-1775|2039;-1686|2380;-1670";1711,5007738544
"ID409";"ID40 - Perm - Kazan - ID18 - Moscou - ID3 - ID5";"2380;-1670|2039;-1686|1718;-1775|1584;-1884|1286;-1755|1146;-1579|1092;-1269";1711,5007738544
"ID418";"ID5 - ID3 - Moscou - ID18 - Kazan - Perm - ID40 - ID41";"1092;-1269|1146;-1579|1286;-1755|1584;-1884|1718;-1775|2039;-1686|2380;-1670|2517;-1715";1855,70202211529
"ID419";"ID41 - ID40 - Perm - Kazan - ID18 - Moscou - ID3 - ID5";"2517;-1715|2380;-1670|2039;-1686|1718;-1775|1584;-1884|1286;-1755|1146;-1579|1092;-1269";1855,70202211529
"Tallin10";"Archangel - Moscou - ID3 - Petrograd - Tallin";"1415;-1247|1286;-1755|1146;-1579|1023;-1533|874;-1552";1030,54090570234
"Tallin11";"Tallin - Petrograd - ID3 - Moscou - Archangel";"874;-1552|1023;-1533|1146;-1579|1286;-1755|1415;-1247";1030,54090570234
"Riga10";"Archangel - Moscou - Minsk - Riga";"1415;-1247|1286;-1755|950;-1886|815;-1713";1104,19743767526
"Riga11";"Riga - Minsk - Moscou - Archangel";"815;-1713|950;-1886|1286;-1755|1415;-1247";1104,19743767526
"Minsk10";"Archangel - Moscou - Minsk";"1415;-1247|1286;-1755|950;-1886";884,757240810606
"Minsk11";"Minsk - Moscou - Archangel";"950;-1886|1286;-1755|1415;-1247";884,757240810606
"Br.Litovsk10";"Archangel - Moscou - Minsk - Br.Litovsk";"1415;-1247|1286;-1755|950;-1886|807;-1977";1054,25650334587
"Br.Litovsk11";"Br.Litovsk - Minsk - Moscou - Archangel";"807;-1977|950;-1886|1286;-1755|1415;-1247";1054,25650334587
"Moscou10";"Archangel - Moscou";"1415;-1247|1286;-1755";524,12307714887
"Moscou11";"Moscou - Archangel";"1286;-1755|1415;-1247";524,12307714887
"Kiev10";"Archangel - Moscou - Kiev";"1415;-1247|1286;-1755|1065;-2080";917,144705052475
"Kiev11";"Kiev - Moscou - Archangel";"1065;-2080|1286;-1755|1415;-1247";917,144705052475
"Kharkov10";"Archangel - Moscou - Kharkov";"1415;-1247|1286;-1755|1218;-2126";901,303405373978
"Kharkov11";"Kharkov - Moscou - Archangel";"1218;-2126|1286;-1755|1415;-1247";901,303405373978
"Sebastopol10";"Archangel - Moscou - Kharkov - Sebastopol";"1415;-1247|1286;-1755|1218;-2126|1155;-2369";1152,33726763164
"Sebastopol11";"Sebastopol - Kharkov - Moscou - Archangel";"1155;-2369|1218;-2126|1286;-1755|1415;-1247";1152,33726763164
"Rostov10";"Archangel - Moscou - ID17 - Rostov";"1415;-1247|1286;-1755|1419;-1971|1382;-2252";1061,21171484364
"Rostov11";"Rostov - ID17 - Moscou - Archangel";"1382;-2252|1419;-1971|1286;-1755|1415;-1247";1061,21171484364
"Tsaritsyn10";"Archangel - Moscou - ID17 - Tsaritsyn";"1415;-1247|1286;-1755|1419;-1971|1552;-2174";1020,47534115718
"Tsaritsyn11";"Tsaritsyn - ID17 - Moscou - Archangel";"1552;-2174|1419;-1971|1286;-1755|1415;-1247";1020,47534115718
"ID1710";"Archangel - Moscou - ID17";"1415;-1247|1286;-1755|1419;-1971";777,786239630141
"ID1711";"ID17 - Moscou - Archangel";"1419;-1971|1286;-1755|1415;-1247";777,786239630141
"ID1810";"Archangel - Moscou - ID18";"1415;-1247|1286;-1755|1584;-1884";848,846035992251
"ID1811";"ID18 - Moscou - Archangel";"1584;-1884|1286;-1755|1415;-1247";848,846035992251
"Kazan10";"Archangel - Moscou - ID18 - Kazan";"1415;-1247|1286;-1755|1584;-1884|1718;-1775";1021,57993538667
"Kazan11";"Kazan - ID18 - Moscou - Archangel";"1718;-1775|1584;-1884|1286;-1755|1415;-1247";1021,57993538667
"Samara10";"Archangel - Moscou - ID18 - Samara";"1415;-1247|1286;-1755|1584;-1884|1761;-1926";1030,7608512218
"Samara11";"Samara - ID18 - Moscou - Archangel";"1761;-1926|1584;-1884|1286;-1755|1415;-1247";1030,7608512218
"ID2410";"Archangel - Moscou - ID18 - Samara - ID24";"1415;-1247|1286;-1755|1584;-1884|1761;-1926|2204;-2274";1594,10177819231
"ID2411";"ID24 - Samara - ID18 - Moscou - Archangel";"2204;-2274|1761;-1926|1584;-1884|1286;-1755|1415;-1247";1594,10177819231
"Tashkent10";"Archangel - Moscou - ID18 - Samara - ID24 - Tashkent";"1415;-1247|1286;-1755|1584;-1884|1761;-1926|2204;-2274|2403;-2574";1954,10316707852
"Tashkent11";"Tashkent - ID24 - Samara - ID18 - Moscou - Archangel";"2403;-2574|2204;-2274|1761;-1926|1584;-1884|1286;-1755|1415;-1247";1954,10316707852
"Perm10";"Archangel - Moscou - ID18 - Kazan - Perm";"1415;-1247|1286;-1755|1584;-1884|1718;-1775|2039;-1686";1354,68952696277
"Perm11";"Perm - Kazan - ID18 - Moscou - Archangel";"2039;-1686|1718;-1775|1584;-1884|1286;-1755|1415;-1247";1354,68952696277
"Yekaterin...10";"Archangel - Moscou - ID18 - Kazan - Perm - Yekaterin...";"1415;-1247|1286;-1755|1584;-1884|1718;-1775|2039;-1686|2172;-1733";1495,74979776926
"Yekaterin...11";"Yekaterin... - Perm - Kazan - ID18 - Moscou - Archangel";"2172;-1733|2039;-1686|1718;-1775|1584;-1884|1286;-1755|1415;-1247";1495,74979776926
"Omsk10";"Archangel - Moscou - ID18 - Samara - Omsk";"1415;-1247|1286;-1755|1584;-1884|1761;-1926|2595;-1855";1867,7775774585
"Omsk11";"Omsk - Samara - ID18 - Moscou - Archangel";"2595;-1855|1761;-1926|1584;-1884|1286;-1755|1415;-1247";1867,7775774585
"Novosibirsk10";"Archangel - Moscou - ID18 - Samara - Omsk - Novosibirsk";"1415;-1247|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834";2199,44307159378
"Novosibirsk11";"Novosibirsk - Omsk - Samara - ID18 - Moscou - Archangel";"2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1415;-1247";2199,44307159378
"Irkustk10";"Archangel - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk";"1415;-1247|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026";3045,79954670642
"Irkustk11";"Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Archangel";"3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1415;-1247";3045,79954670642
"ID3111";"Archangel - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31";"1415;-1247|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901";2885,7214407706
"ID3112";"ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Archangel";"3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1415;-1247";2885,7214407706
"ID3210";"Archangel - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32";"1415;-1247|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077";3546,40418112364
"ID3211";"ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Archangel";"4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1415;-1247";3546,40418112364
"ID3310";"Archangel - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33";"1415;-1247|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923";3725,28123387217
"ID3311";"ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Archangel";"4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1415;-1247";3725,28123387217
"ID3410";"Archangel - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34";"1415;-1247|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949";3981,60329691006
"ID3411";"ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Archangel";"4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1415;-1247";3981,60329691006
"ID3510";"Archangel - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35";"1415;-1247|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021";4055,3596525684
"ID3511";"ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Archangel";"4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1415;-1247";4055,3596525684
"ID3610";"Archangel - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36";"1415;-1247|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178";4275,28009272802
"ID3611";"ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Archangel";"4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1415;-1247";4275,28009272802
"Khabarovsk10";"Archangel - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36 - Khabarovsk";"1415;-1247|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178|4829;-2146";4386,00497701335
"Khabarovsk11";"Khabarovsk - ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Archangel";"4829;-2146|4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1415;-1247";4386,00497701335
"ID3810";"Archangel - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36 - Khabarovsk - ID38";"1415;-1247|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178|4829;-2146|4887;-2222";4481,60832423509
"ID3811";"ID38 - Khabarovsk - ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Archangel";"4887;-2222|4829;-2146|4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1415;-1247";4481,60832423509
"Vladivostok10";"Archangel - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36 - Khabarovsk - ID38 - Vladivostok";"1415;-1247|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178|4829;-2146|4887;-2222|4777;-2450";4734,75650218626
"Vladivostok11";"Vladivostok - ID38 - Khabarovsk - ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - Archangel";"4777;-2450|4887;-2222|4829;-2146|4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1415;-1247";4734,75650218626
"ID4010";"Archangel - Moscou - ID18 - Kazan - Perm - ID40";"1415;-1247|1286;-1755|1584;-1884|1718;-1775|2039;-1686|2380;-1670";1696,06468716046
"ID4011";"ID40 - Perm - Kazan - ID18 - Moscou - Archangel";"2380;-1670|2039;-1686|1718;-1775|1584;-1884|1286;-1755|1415;-1247";1696,06468716046
"ID4110";"Archangel - Moscou - ID18 - Kazan - Perm - ID40 - ID41";"1415;-1247|1286;-1755|1584;-1884|1718;-1775|2039;-1686|2380;-1670|2517;-1715";1840,26593542136
"ID4111";"ID41 - ID40 - Perm - Kazan - ID18 - Moscou - Archangel";"2517;-1715|2380;-1670|2039;-1686|1718;-1775|1584;-1884|1286;-1755|1415;-1247";1840,26593542136
"Riga12";"Tallin - Riga";"874;-1552|815;-1713";171,470114014075
"Riga13";"Riga - Tallin";"815;-1713|874;-1552";171,470114014075
"Minsk12";"Tallin - Riga - Minsk";"874;-1552|815;-1713|950;-1886";390,910310878734
"Minsk13";"Minsk - Riga - Tallin";"950;-1886|815;-1713|874;-1552";390,910310878734
"Br.Litovsk12";"Tallin - Riga - Br.Litovsk";"874;-1552|815;-1713|807;-1977";435,591298321582
"Br.Litovsk13";"Br.Litovsk - Riga - Tallin";"807;-1977|815;-1713|874;-1552";435,591298321582
"Moscou12";"Tallin - Petrograd - ID3 - Moscou";"874;-1552|1023;-1533|1146;-1579|1286;-1755";506,417828553465
"Moscou13";"Moscou - ID3 - Petrograd - Tallin";"1286;-1755|1146;-1579|1023;-1533|874;-1552";506,417828553465
"Kiev12";"Tallin - Riga - Minsk - Kiev";"874;-1552|815;-1713|950;-1886|1065;-2080";616,434145539286
"Kiev13";"Kiev - Minsk - Riga - Tallin";"1065;-2080|950;-1886|815;-1713|874;-1552";616,434145539286
"Kharkov12";"Tallin - Riga - Minsk - Kiev - Kharkov";"874;-1552|815;-1713|950;-1886|1065;-2080|1218;-2126";776,19959862599
"Kharkov13";"Kharkov - Kiev - Minsk - Riga - Tallin";"1218;-2126|1065;-2080|950;-1886|815;-1713|874;-1552";776,19959862599
"Sebastopol12";"Tallin - Riga - Minsk - Kiev - Kharkov - Sebastopol";"874;-1552|815;-1713|950;-1886|1065;-2080|1218;-2126|1155;-2369";1027,23346088365
"Sebastopol13";"Sebastopol - Kharkov - Kiev - Minsk - Riga - Tallin";"1155;-2369|1218;-2126|1065;-2080|950;-1886|815;-1713|874;-1552";1027,23346088365
"Rostov12";"Tallin - Riga - Minsk - Kiev - Kharkov - Rostov";"874;-1552|815;-1713|950;-1886|1065;-2080|1218;-2126|1382;-2252";983,01352465613
"Rostov13";"Rostov - Kharkov - Kiev - Minsk - Riga - Tallin";"1382;-2252|1218;-2126|1065;-2080|950;-1886|815;-1713|874;-1552";983,01352465613
"Tsaritsyn12";"Tallin - Petrograd - ID3 - Moscou - ID17 - Tsaritsyn";"874;-1552|1023;-1533|1146;-1579|1286;-1755|1419;-1971|1552;-2174";1002,77009256177
"Tsaritsyn13";"Tsaritsyn - ID17 - Moscou - ID3 - Petrograd - Tallin";"1552;-2174|1419;-1971|1286;-1755|1146;-1579|1023;-1533|874;-1552";1002,77009256177
"ID1712";"Tallin - Petrograd - ID3 - Moscou - ID17";"874;-1552|1023;-1533|1146;-1579|1286;-1755|1419;-1971";760,080991034737
"ID1713";"ID17 - Moscou - ID3 - Petrograd - Tallin";"1419;-1971|1286;-1755|1146;-1579|1023;-1533|874;-1552";760,080991034737
"ID1812";"Tallin - Petrograd - ID3 - Moscou - ID18";"874;-1552|1023;-1533|1146;-1579|1286;-1755|1584;-1884";831,140787396846
"ID1813";"ID18 - Moscou - ID3 - Petrograd - Tallin";"1584;-1884|1286;-1755|1146;-1579|1023;-1533|874;-1552";831,140787396846
"Kazan12";"Tallin - Petrograd - ID3 - Moscou - ID18 - Kazan";"874;-1552|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1718;-1775";1003,87468679126
"Kazan13";"Kazan - ID18 - Moscou - ID3 - Petrograd - Tallin";"1718;-1775|1584;-1884|1286;-1755|1146;-1579|1023;-1533|874;-1552";1003,87468679126
"Samara12";"Tallin - Petrograd - ID3 - Moscou - ID18 - Samara";"874;-1552|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1761;-1926";1013,05560262639
"Samara13";"Samara - ID18 - Moscou - ID3 - Petrograd - Tallin";"1761;-1926|1584;-1884|1286;-1755|1146;-1579|1023;-1533|874;-1552";1013,05560262639
"ID2412";"Tallin - Petrograd - ID3 - Moscou - ID18 - Samara - ID24";"874;-1552|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2204;-2274";1576,39652959691
"ID2413";"ID24 - Samara - ID18 - Moscou - ID3 - Petrograd - Tallin";"2204;-2274|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1023;-1533|874;-1552";1576,39652959691
"Tashkent12";"Tallin - Petrograd - ID3 - Moscou - ID18 - Samara - ID24 - Tashkent";"874;-1552|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2204;-2274|2403;-2574";1936,39791848312
"Tashkent13";"Tashkent - ID24 - Samara - ID18 - Moscou - ID3 - Petrograd - Tallin";"2403;-2574|2204;-2274|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1023;-1533|874;-1552";1936,39791848312
"Perm12";"Tallin - Petrograd - ID3 - Moscou - ID18 - Kazan - Perm";"874;-1552|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1718;-1775|2039;-1686";1336,98427836737
"Perm13";"Perm - Kazan - ID18 - Moscou - ID3 - Petrograd - Tallin";"2039;-1686|1718;-1775|1584;-1884|1286;-1755|1146;-1579|1023;-1533|874;-1552";1336,98427836737
"Yekaterin...12";"Tallin - Petrograd - ID3 - Moscou - ID18 - Kazan - Perm - Yekaterin...";"874;-1552|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1718;-1775|2039;-1686|2172;-1733";1478,04454917386
"Yekaterin...13";"Yekaterin... - Perm - Kazan - ID18 - Moscou - ID3 - Petrograd - Tallin";"2172;-1733|2039;-1686|1718;-1775|1584;-1884|1286;-1755|1146;-1579|1023;-1533|874;-1552";1478,04454917386
"Omsk12";"Tallin - Petrograd - ID3 - Moscou - ID18 - Samara - Omsk";"874;-1552|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855";1850,07232886309
"Omsk13";"Omsk - Samara - ID18 - Moscou - ID3 - Petrograd - Tallin";"2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1023;-1533|874;-1552";1850,07232886309
"Novosibirsk12";"Tallin - Petrograd - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk";"874;-1552|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834";2181,73782299837
"Novosibirsk13";"Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - Petrograd - Tallin";"2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1023;-1533|874;-1552";2181,73782299837
"Irkustk12";"Tallin - Petrograd - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk";"874;-1552|1023;-1533|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026";3028,09429811102
