"";"Chemin";"Positions";"Distance"
"Tashkent";"Murmansk - ID5 - ID3 - Moscou - ID18 - Samara - ID24 - Tashkent";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2204;-2274|2403;-2574";2286,8907938664
"Tashkent1";"Tashkent - ID24 - Samara - ID18 - Moscou - ID3 - ID5 - Murmansk";"2403;-2574|2204;-2274|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";2286,8907938664
"Perm";"Murmansk - ID5 - ID3 - Moscou - ID18 - Kazan - Perm";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1718;-1775|2039;-1686";1687,47715375065
"Perm1";"Perm - Kazan - ID18 - Moscou - ID3 - ID5 - Murmansk";"2039;-1686|1718;-1775|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";1687,47715375065
"Yekaterin...";"Murmansk - ID5 - ID3 - Moscou - ID18 - Kazan - Perm - Yekaterin...";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1718;-1775|2039;-1686|2172;-1733";1828,53742455714
"Yekaterin...1";"Yekaterin... - Perm - Kazan - ID18 - Moscou - ID3 - ID5 - Murmansk";"2172;-1733|2039;-1686|1718;-1775|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";1828,53742455714
"Omsk";"Murmansk - ID5 - ID3 - Moscou - ID18 - Samara - Omsk";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855";2200,56520424638
"Omsk1";"Omsk - Samara - ID18 - Moscou - ID3 - ID5 - Murmansk";"2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";2200,56520424638
"Novosibirsk";"Murmansk - ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834";2532,23069838166
"Novosibirsk1";"Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5 - Murmansk";"2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";2532,23069838166
"Irkustk";"Murmansk - ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026";3378,5871734943
"Irkustk1";"Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5 - Murmansk";"3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";3378,5871734943
"ID311";"Murmansk - ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901";3218,50906755848
"ID312";"ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5 - Murmansk";"3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";3218,50906755848
"ID32";"Murmansk - ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077";3879,19180791152
"ID321";"ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5 - Murmansk";"4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";3879,19180791152
"ID33";"Murmansk - ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923";4058,06886066005
"ID331";"ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5 - Murmansk";"4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";4058,06886066005
"ID34";"Murmansk - ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949";4314,39092369794
"ID341";"ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5 - Murmansk";"4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";4314,39092369794
"ID35";"Murmansk - ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021";4388,14727935629
"ID351";"ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5 - Murmansk";"4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";4388,14727935629
"ID36";"Murmansk - ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178";4608,0677195159
"ID361";"ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5 - Murmansk";"4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";4608,0677195159
"Khabarovsk";"Murmansk - ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36 - Khabarovsk";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178|4829;-2146";4718,79260380123
"Khabarovsk1";"Khabarovsk - ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5 - Murmansk";"4829;-2146|4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";4718,79260380123
"ID38";"Murmansk - ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36 - Khabarovsk - ID38";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178|4829;-2146|4887;-2222";4814,39595102297
"ID381";"ID38 - Khabarovsk - ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5 - Murmansk";"4887;-2222|4829;-2146|4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";4814,39595102297
"Vladivostok";"Murmansk - ID5 - ID3 - Moscou - ID18 - Samara - Omsk - Novosibirsk - ID31 - Irkustk - ID32 - ID33 - ID34 - ID35 - ID36 - Khabarovsk - ID38 - Vladivostok";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1761;-1926|2595;-1855|2926;-1834|3609;-1901|3709;-2026|4207;-2077|4298;-1923|4553;-1949|4569;-2021|4723;-2178|4829;-2146|4887;-2222|4777;-2450";5067,54412897415
"Vladivostok1";"Vladivostok - ID38 - Khabarovsk - ID36 - ID35 - ID34 - ID33 - ID32 - Irkustk - ID31 - Novosibirsk - Omsk - Samara - ID18 - Moscou - ID3 - ID5 - Murmansk";"4777;-2450|4887;-2222|4829;-2146|4723;-2178|4569;-2021|4553;-1949|4298;-1923|4207;-2077|3709;-2026|3609;-1901|2926;-1834|2595;-1855|1761;-1926|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";5067,54412897415
"ID40";"Murmansk - ID5 - ID3 - Moscou - ID18 - Kazan - Perm - ID40";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1718;-1775|2039;-1686|2380;-1670";2028,85231394835
"ID401";"ID40 - Perm - Kazan - ID18 - Moscou - ID3 - ID5 - Murmansk";"2380;-1670|2039;-1686|1718;-1775|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";2028,85231394835
"ID41";"Murmansk - ID5 - ID3 - Moscou - ID18 - Kazan - Perm - ID40 - ID41";"1138;-955|1092;-1269|1146;-1579|1286;-1755|1584;-1884|1718;-1775|2039;-1686|2380;-1670|2517;-1715";2173,05356220924
"ID411";"ID41 - ID40 - Perm - Kazan - ID18 - Moscou - ID3 - ID5 - Murmansk";"2517;-1715|2380;-1670|2039;-1686|1718;-1775|1584;-1884|1286;-1755|1146;-1579|1092;-1269|1138;-955";2173,05356220924
"ID37";"Helsinski - Petrograd - ID3";"820;-1435|1023;-1533|1146;-1579";356,737609944887
"ID39";"ID3 - Petrograd - Helsinski";"1146;-1579|1023;-1533|820;-1435";356,737609944887
"Petrograd2";"Helsinski - Petrograd";"820;-1435|1023;-1533";225,417390633465
"Petrograd3";"Petrograd - Helsinski";"1023;-1533|820;-1435";225,417390633465
"ID52";"Helsinski - Petrograd - ID3 - ID5";"820;-1435|1023;-1533|1146;-1579|1092;-1269";671,405689037762
"ID53";"ID5 - ID3 - Petrograd - Helsinski";"1092;-1269|1146;-1579|1023;-1533|820;-1435";671,405689037762
"Archangel2";"Helsinski - Petrograd - ID3 - Moscou - Archangel";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1415;-1247";1105,75177184369
"Archangel3";"Archangel - Moscou - ID3 - Petrograd - Helsinski";"1415;-1247|1286;-1755|1146;-1579|1023;-1533|820;-1435";1105,75177184369
"Tallin2";"Helsinski - Petrograd - Tallin";"820;-1435|1023;-1533|874;-1552";375,623915125578
"Tallin3";"Tallin - Petrograd - Helsinski";"874;-1552|1023;-1533|820;-1435";375,623915125578
"Riga2";"Helsinski - Petrograd - Riga";"820;-1435|1023;-1533|815;-1713";500,488290584732
"Riga3";"Riga - Petrograd - Helsinski";"815;-1713|1023;-1533|820;-1435";500,488290584732
"Minsk2";"Helsinski - Petrograd - Riga - Minsk";"820;-1435|1023;-1533|815;-1713|950;-1886";719,92848744939
"Minsk3";"Minsk - Riga - Petrograd - Helsinski";"950;-1886|815;-1713|1023;-1533|820;-1435";719,92848744939
"Br.Litovsk2";"Helsinski - Petrograd - Riga - Br.Litovsk";"820;-1435|1023;-1533|815;-1713|807;-1977";764,609474892239
"Br.Litovsk3";"Br.Litovsk - Riga - Petrograd - Helsinski";"807;-1977|815;-1713|1023;-1533|820;-1435";764,609474892239
"Moscou2";"Helsinski - Petrograd - ID3 - Moscou";"820;-1435|1023;-1533|1146;-1579|1286;-1755";581,628694694816
"Moscou3";"Moscou - ID3 - Petrograd - Helsinski";"1286;-1755|1146;-1579|1023;-1533|820;-1435";581,628694694816
"Kiev2";"Helsinski - Petrograd - Riga - Minsk - Kiev";"820;-1435|1023;-1533|815;-1713|950;-1886|1065;-2080";945,452322109942
"Kiev3";"Kiev - Minsk - Riga - Petrograd - Helsinski";"1065;-2080|950;-1886|815;-1713|1023;-1533|820;-1435";945,452322109942
"Kharkov2";"Helsinski - Petrograd - ID3 - Moscou - Kharkov";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1218;-2126";958,809022919924
"Kharkov3";"Kharkov - Moscou - ID3 - Petrograd - Helsinski";"1218;-2126|1286;-1755|1146;-1579|1023;-1533|820;-1435";958,809022919924
"Sebastopol2";"Helsinski - Petrograd - ID3 - Moscou - Kharkov - Sebastopol";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1218;-2126|1155;-2369";1209,84288517759
"Sebastopol3";"Sebastopol - Kharkov - Moscou - ID3 - Petrograd - Helsinski";"1155;-2369|1218;-2126|1286;-1755|1146;-1579|1023;-1533|820;-1435";1209,84288517759
"Rostov2";"Helsinski - Petrograd - ID3 - Moscou - ID17 - Rostov";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1419;-1971|1382;-2252";1118,71733238959
"Rostov3";"Rostov - ID17 - Moscou - ID3 - Petrograd - Helsinski";"1382;-2252|1419;-1971|1286;-1755|1146;-1579|1023;-1533|820;-1435";1118,71733238959
"Tsaritsyn2";"Helsinski - Petrograd - ID3 - Moscou - ID17 - Tsaritsyn";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1419;-1971|1552;-2174";1077,98095870312
"Tsaritsyn3";"Tsaritsyn - ID17 - Moscou - ID3 - Petrograd - Helsinski";"1552;-2174|1419;-1971|1286;-1755|1146;-1579|1023;-1533|820;-1435";1077,98095870312
"ID172";"Helsinski - Petrograd - ID3 - Moscou - ID17";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1419;-1971";835,291857176088
"ID173";"ID17 - Moscou - ID3 - Petrograd - Helsinski";"1419;-1971|1286;-1755|1146;-1579|1023;-1533|820;-1435";835,291857176088
"ID182";"Helsinski - Petrograd - ID3 - Moscou - ID18";"820;-1435|1023;-1533|1146;-1579|1286;-1755|1584;-1884";906,351653538197
